Location name,Amount spent (HTG)
Artibonite Department,≤100
Centre Department,≤100
Nippes Department,≤100
Nord Department,≤100
Nord-Est Department,≤100
Nord-Ouest Department,≤100
Ouest Department,448
Sud Department,≤100
Unknown,≤100
