Location name,Amount spent (EUR)
Alsace,507
Aquitaine,1118
Auvergne,356
Basse-Normandie,386
Bourgogne,436
Bretagne,995
Centre,643
Champagne-Ardenne,343
Corse,110
Franche-Comté,289
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,546
Languedoc-Roussillon,1015
Limousin,200
Lorraine,636
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,885
New Caledonia,≤100
Nord-Pas-de-Calais,1218
Pays de la Loire,1017
Picardie,529
Poitou-Charentes,493
Provence-Alpes-Côte d'Azur,1863
Reunion Island,≤100
Rhône-Alpes,2036
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4353
