Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,692
Bicol Region,2831
Cagayan Valley,1427
Calabarzon,15629
Caraga,1498
Central Luzon,6526
Central Visayas,6299
Cordillera Administrative Region,1063
Davao Region,4068
Eastern Visayas,2082
Ilocos Region,4946
Metro Manila,53041
Mimaropa,3501
Northern Mindanao,2843
Soccsksargen,2594
Unknown,≤100
Western Visayas,7612
Zamboanga Peninsula,2373
