Location name,Amount spent (CAD)
Alberta,8617
British Columbia,20372
Manitoba,3622
New Brunswick,1883
Newfoundland and Labrador,1030
Northwest Territories,199
Nova Scotia,1742
Nunavut,165
Ontario,26384
Prince Edward Island,478
Quebec,23186
Saskatchewan,2249
Unknown,≤100
Yukon,194
