Location name,Amount spent (MXN)
Aguascalientes,9881
Baja California,31188
Baja California Sur,5836
Campeche,7307
Chiapas,13100
Chihuahua,19335
Coahuila de Zaragoza,291147
Colima,4551
Distrito Federal,122465
Durango,10347
Guanajuato,19886
Guerrero,6856
Hidalgo,9625
Jalisco,179860
Michoacán de Ocampo,22161
Morelos,17943
Nayarit,7105
Nuevo León,96398
Oaxaca,12195
Puebla,32136
Querétaro Arteaga,18278
Quintana Roo,34648
San Luis Potosi,20195
Sinaloa,7227
Sonora,20745
State of Mexico,204414
Tabasco,6159
Tamaulipas,33768
Tlaxcala,3990
Unknown,≤100
Veracruz,29354
Yucatán,19131
Zacatecas,5855
