Location name,Amount spent (TWD)
Changhua,8991
Chiayi,3691
Hsinchu,3999
Hsinchu City,6606
Hualien,3568
Kaohsiung,30496
Keelung City,3935
Kinmen,676
Lienchiang,≤100
Miaoli,4392
Nantou,3561
New Taipei City,45267
Penghu,861
Pingtung,5912
Taichung,33714
Tainan,19835
Taipei,32122
Taitung,1770
Taoyuan City,26980
Unknown,4215
Yilan,3374
Yunlin,6076
