Location name,Amount spent (TRY)
Adana Province,3177
Adıyaman Province,341
Afyonkarahisar Province,885
Aksaray Province,1118
Amasya Province,235
Ankara Province,8422
Antalya Province,2035
Ardahan Province,≤100
Artvin Province,376
Aydın Province,1025
Ağrı Province,112
Balıkesir Province,5068
Bartın Province,122
Batman Province,244
Bayburt Province,≤100
Bilecik Province,165
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,202
Burdur Province,222
Bursa Province,2098
Denizli Province,1241
Diyarbakır Province,538
Düzce Province,225
Edirne Province,283
Elazığ Province,242
Erzincan Province,238
Erzurum Province,755
Eskişehir Province,1151
Gaziantep Province,1218
Giresun Province,340
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1630
Isparta Province,483
Istanbul Province,84808
Iğdır Province,≤100
Kahramanmaraş Province,645
Karabük Province,225
Karaman Province,166
Kars Province,≤100
Kastamonu Province,2247
Kayseri Province,871
Kilis Province,≤100
Kocaeli Province,811
Konya Province,2592
Kütahya Province,312
Kırklareli Province,193
Kırıkkale Province,254
Kırşehir Province,213
Malatya Province,381
Manisa Province,1473
Mardin Province,278
Mersin Province,13840
Muğla Province,581
Muş Province,≤100
Nevşehir Province,159
Niğde Province,206
Ordu Province,506
Osmaniye Province,480
Rize Province,206
Sakarya Province,424
Samsun Province,1309
Siirt Province,≤100
Sinop Province,394
Sivas Province,383
Tekirdağ Province,779
Tokat Province,6623
Trabzon Province,647
Tunceli Province,≤100
Unknown,≤100
Uşak Province,300
Van Province,251
Yalova Province,146
Yozgat Province,613
Zonguldak Province,1037
Çanakkale Province,15332
Çankırı Province,192
Çorum Province,349
İzmir Province,4487
Şanlıurfa Province,1601
Şırnak Province,164
