Page ID,Page name,Disclaimer,Amount spent (NIO),Number of ads in Library
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
238358835684,Mokuanes - El Grupo #1 de Nicaragua,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
975350039244736,Panorama Acuícola Magazine,These ads ran without a disclaimer,≤100,1
72750481109,Structuralia,These ads ran without a disclaimer,≤100,1
103101872615379,AKK03,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
106765298897445,Mineração Inteligente,These ads ran without a disclaimer,≤100,1
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
73006545785,Embajada de Estados Unidos Managua,These ads ran without a disclaimer,≤100,1
