Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,5759210
Apure,253070
Aragua,7756140
Barinas,6238564
Bolívar (state),6759210
Capital District,17759210
Carabobo,12259210
Cojedes,253070
Delta Amacuro,≤100
Falcón,756140
Guárico,756140
Lara,7009210
Miranda (state),4928010
Monagas,506140
Mérida,1271125
Nueva Esparta,503070
Portuguesa,1006140
Sucre,506140
Trujillo,756140
Táchira,7503070
Unknown,≤100
Vargas,1750000
Yaracuy,1503070
Zulia,15551872
