Location name,Amount spent (INR)
Andaman and Nicobar Islands,168
Andhra Pradesh,100998
Arunachal Pradesh,1116
Assam,18325
Bihar,40772
Chandigarh,1898
Chhattisgarh,107903
Dadra and Nagar Haveli,617
Delhi,48728
Goa,2998
Gujarat,50416
Haryana,40089
Himachal Pradesh,7655
Jammu and Kashmir,4975
Jharkhand,16756
Karnataka,43417
Kerala,11899
Lakshadweep,≤100
Madhya Pradesh,247271
Maharashtra,173401
Manipur,162
Meghalaya,1045
Mizoram,1987
Nagaland,902
Odisha,11586
Puducherry,543
Punjab region,30513
Rajasthan,188209
Sikkim,1104
Tamil Nadu,23343
Telangana,113302
Tripura,2022
Unknown,≤100
Uttar Pradesh,116422
Uttarakhand,16439
West Bengal,36872
