Location name,Amount spent (TND)
Ariana Governorate,137
Ben Arous Governorate,184
Bizerte Governorate,142
Béja Governorate,≤100
Gabès Governorate,114
Gafsa Governorate,≤100
Jendouba Governorate,≤100
Kairouan Governorate,107
Kasserine Governorate,≤100
Kebili Governorate,≤100
Kef Governorate,≤100
Mahdia Governorate,≤100
Manouba Governorate,213
Medenine Governorate,158
Monastir Governorate,160
Nabeul Governorate,529
Sfax,307
Sidi Bouzid Governorate,≤100
Siliana Governorate,≤100
Sousse Governorate,204
Tataouine Governorate,≤100
Tozeur Governorate,≤100
Tunis Governorate,563
Unknown,≤100
Zaghouan Governorate,≤100
