Location name,Amount spent (PLN)
Greater Poland Voivodeship,4358
Kuyavian-Pomeranian Voivodeship,2552
Lesser Poland Voivodeship,4604
Lower Silesian Voivodeship,3498
Lublin Voivodeship,2361
Lubusz Voivodeship,846
Masovian Voivodeship,7935
Opole Voivodeship,951
Podkarpackie Voivodeship,2711
Podlaskie Voivodeship,973
Pomeranian Voivodeship,4195
Silesian Voivodeship,5728
Unknown,≤100
Warmian-Masurian Voivodeship,1049
West Pomeranian Voivodeship,1668
Łódź Voivodeship,2441
Świętokrzyskie Voivodeship,1662
