Location name,Amount spent (DKK)
Capital Region of Denmark,37599
Central Denmark Region,20786
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9694
Region of Southern Denmark,20304
Unknown,≤100
Zealand Region,14941
