Location name,Amount spent (AUD)
Australian Capital Territory,1994
Jervis Bay Territory,≤100
New South Wales,14244
Norfolk Island,≤100
Northern Territory,429
Queensland,11358
South Australia,4133
Tasmania,1694
Unknown,≤100
Victoria,14074
Western Australia,6095
