Location name,Amount spent (INR)
Andaman and Nicobar Islands,571
Andhra Pradesh,79543
Arunachal Pradesh,2736
Assam,42594
Bihar,113577
Chandigarh,5543
Chhattisgarh,35114
Dadra and Nagar Haveli,5002
Delhi,118263
Goa,5684
Gujarat,129574
Haryana,65691
Himachal Pradesh,26728
Jammu and Kashmir,34132
Jharkhand,38018
Karnataka,262231
Kerala,58230
Lakshadweep,≤100
Madhya Pradesh,115551
Maharashtra,293481
Manipur,5314
Meghalaya,112388
Mizoram,2455
Nagaland,3279
Odisha,40409
Puducherry,5745
Punjab region,65772
Rajasthan,161747
Sikkim,2173
Tamil Nadu,103557
Telangana,81484
Tripura,99708
Unknown,152
Uttar Pradesh,233210
Uttarakhand,24895
West Bengal,118121
