Location name,Amount spent (PYG)
Alto Paraguay Department,508
Alto Paraná Department,262290
Amambay Department,31249
Asunción,255716
Boquerón department,30686
Caaguazú Department,205680
Caazapá Department,47196
Canindeyú Department,41340
Central Department,654093
Concepción Department (Paraguay),34476
Cordillera Department,68337
Guairá Department,49340
Itapúa Department,94961
Misiones Department,109736
Paraguarí Department,38189
Presidente Hayes Department,17993
San Pedro Department,72009
Unknown,≤100
Ñeembucú Department,88899
