Location name,Amount spent (EGP)
Al Sharqia Governorate,1066
Alexandria Governorate,1208
Aswan Governorate,191
Asyut Governorate,413
Beheira Governorate,606
Beni Suef Governorate,270
Cairo Governorate,3804
Dakahlia Governorate,1006
Damietta Governorate,295
Faiyum Governorate,266
Gharbia Governorate,878
Giza Governorate,1305
Ismailia Governorate,401
Kafr el-Sheikh Governorate,466
Luxor Governorate,135
Matrouh Governorate,≤100
Minya Governorate,492
Monufia Governorate,550
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,181
Qalyubia Governorate,859
Qena Governorate,299
Red Sea Governorate,110
Sohag Governorate,452
South Sinai Governorate,≤100
Suez Governorate,132
Unknown,≤100
