Location name,Amount spent (VND)
An Giang Province,56608
Bà Rịa–Vũng Tàu Province,58753
Bình Dương Province,99240
Bình Phước Province,49120
Bình Thuận Province,65744
Bình Định Province,45850
Bạc Liêu Province,26018
Bắc Giang Province,267762
Bắc Kạn Province,11906
Bắc Ninh Province,134134
Bến Tre Province,28109
Cao Bằng Province,21436
Cà Mau Province,25744
Cần Thơ,57621
Da Nang,506343
Gia Lai Province,53717
Haiphong,174038
Ho Chi Minh City,1975460
Hà Giang Province,40125
Hà Nam Province,53194
Hà Tĩnh Province,72478
Hòa Bình Province,49582
Hưng Yên Province,63618
Hải Dương Province,152130
Hậu Giang Province,10618
Khánh Hòa Province,156585
Kiên Giang Province,46155
Kon Tum Province,20154
Lai Châu Province,9028
Long An Province,39007
Lào Cai Province,31483
Lâm Đồng Province,100949
Lạng Sơn Province,30994
Nam Định Province,101190
Nghệ An Province,209422
Ninh Bình Province,50505
Ninh Thuận Province,18869
Phú Thọ Province,68771
Phú Yên Province,28698
Quảng Bình Province,50505
Quảng Nam Province,61199
Quảng Ngãi Province,109056
Quảng Ninh Province,93285
Quảng Trị Province,26230
Sóc Trăng Province,36922
Sơn La Province,42421
Thanh Hóa Province,171077
Thái Bình Province,98931
Thái Nguyên Province,65816
Thừa Thiên–Huế Province,48158
Tiền Giang Province,49462
Trà Vinh Province,24514
Tuyên Quang Province,88479
Tây Ninh Province,44925
Unknown,≤100
Vĩnh Long Province,18072
Vĩnh Phúc Province,73584
Yên Bái Province,27946
Điện Biên Province,27909
Đắk Lắk Province,335431
Đắk Nông Province,20989
Đồng Nai Province,158523
Đồng Tháp Province,28548
