Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,18874,39
167924689961661,Unidad Nacional de la Esperanza,Leonel Aníbal Quiñónez Aguilar,1222,2
191866540866722,Elecciones Infantiles,Fundación Elecciones Infantiles de Centroamérica,177,2
643513979193133,Unidos por Beatriz,Neuma,≤100,5
106908785419555,Goberna Guatemala,Goberna,≤100,1
101405406148203,Valor Suchitepequez,Byron Estuardo Villatorio Liu,≤100,1
103084629229632,Scanner Doc,These ads ran without a disclaimer,≤100,1
210893700948063,Centro de Gestión y Capacitación Integral,These ads ran without a disclaimer,≤100,1
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
101551662319853,Investing Magacín,These ads ran without a disclaimer,≤100,3
131857626888341,Aceprensa,These ads ran without a disclaimer,≤100,1
105741532048451,Fluffy Worldwide,These ads ran without a disclaimer,≤100,2
121307931254043,Econlib,These ads ran without a disclaimer,≤100,1
274394006605216,History A2Z Magazine,These ads ran without a disclaimer,≤100,1
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100,1
