Location name,Amount spent (CLP)
Antofagasta Region,35015
Araucanía Region,62591
Arica y Parinacota Region,9590
Atacama Region,21695
Aysén Region,8110
Bío Bío Region,77366
Coquimbo Region,42064
Los Lagos Region,24777
Los Ríos Region,12761
Magallanes y la Antártica Chilena Region,22161
Maule Region,46560
O'Higgins Region,27080
Santiago Metropolitan Region,649403
Tarapacá Region,23624
Unknown,≤100
Valparaíso Region,101162
