Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,1981,2
721629447857727,567 El Espacio,Partido por la Victoria del Pueblo - Espacio 567 - Frente Amplio,994,2
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,641,2
111113632884184,Bailoqueros,These ads ran without a disclaimer,397,1
225968600759645,Andrés Lima,Andrés Lima,385,3
124078730688393,Top Invest,These ads ran without a disclaimer,233,1
308762172579887,Rodrigo Goñi Reyes,Rodrigo Goñi Reyes,210,2
530640683655093,President,These ads ran without a disclaimer,187,3
339506493370193,Richard Sander,Richard Sander,150,1
682047678477157,Intendencia de Maldonado,Intendencia de Maldonado,131,1
105117615358542,Kanthusburger,These ads ran without a disclaimer,≤100,1
107574220629167,Carolina Batista,Carolina Batista,≤100,1
110330081872072,Guzmán Acosta y Lara,These ads ran without a disclaimer,≤100,2
108259318940861,TD_Ln2_Cuidado Cariñoso,These ads ran without a disclaimer,≤100,1
324027561107639,María De Lima,These ads ran without a disclaimer,≤100,1
106959219141655,iffa.2024,These ads ran without a disclaimer,≤100,1
105825666430158,"Lista 1811, Canelones Con Voz",These ads ran without a disclaimer,≤100,1
112001677152704,Dominio_intelectual,These ads ran without a disclaimer,≤100,1
150990768265776,Alex de Marcos,These ads ran without a disclaimer,≤100,1
113318352041973,Periferia Internacional,These ads ran without a disclaimer,≤100,1
