Location name,Amount spent (COP)
Amazonas,3282
Antioquia,5538927
Arauca,154814
Atlantico,737393
Bolivar,550675
Boyaca,930850
Caldas,462005
Caqueta,133245
Casanare,317989
Cauca,757998
Cesar,221428
Choco,128707
Cordoba,683971
Cundinamarca,1307613
Distrito Especial,3193860
Guainia,1733
Guaviare,44358
Huila,932848
La Guajira,118447
Magdalena,290470
Meta,400811
Narino,620632
Norte de Santander,1298376
Putumayo,208978
Quindio,220102
Risaralda,971298
San Andres y Providencia,61109
Santander,1362621
Sucre,191457
Tolima,363255
Unknown,556
Valle del Cauca,6093399
Vaupes,797
Vichada,2298
