Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,106
Babil Governorate,≤100
Baghdad Governorate,347
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,191
Erbil Governorate,338
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,124
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,≤100
Saladin Governorate,≤100
Sulaymaniyah Governorate,351
Unknown,≤100
Wasit Governorate,≤100
