Location name,Amount spent (HUF)
Baranya County,80491
Borsod-Abaúj-Zemplén County,122921
Budapest,546152
Bács-Kiskun County,111942
Békés County,83878
Csongrád County,203984
Fejér County,93536
Győr-Moson-Sopron County,102071
Hajdú-Bihar County,102347
Heves County,74494
Jász-Nagykun-Szolnok County,76879
Komárom-Esztergom County,64429
Nógrád County,51686
Pest County,237093
Somogy County,59326
Szabolcs-Szatmár-Bereg County,97311
Tolna County,48011
Unknown,≤100
Vas County,56264
Veszprém County,73722
Zala County,64357
