Location name,Amount spent (EGP)
Al Sharqia Governorate,1807
Alexandria Governorate,1138
Aswan Governorate,184
Asyut Governorate,531
Beheira Governorate,650
Beni Suef Governorate,265
Cairo Governorate,3209
Dakahlia Governorate,1436
Damietta Governorate,365
Faiyum Governorate,302
Gharbia Governorate,887
Giza Governorate,1115
Ismailia Governorate,260
Kafr el-Sheikh Governorate,525
Luxor Governorate,136
Matrouh Governorate,≤100
Minya Governorate,581
Monufia Governorate,659
New Valley Governorate,≤100
North Sinai Governorate,101
Port Said Governorate,269
Qalyubia Governorate,916
Qena Governorate,326
Red Sea Governorate,116
Sohag Governorate,1122
South Sinai Governorate,≤100
Suez Governorate,119
Unknown,≤100
