Location name,Amount spent (RON)
Alba County,526
Arad County,601
Argeș County,930
Bacău County,713
Bihor County,914
Bistrița-Năsăud County,451
Botoșani County,474
Brașov County,1060
Brăila County,429
Bucharest,4515
Buzău County,623
Caraș-Severin County,372
Cluj County,1559
Constanța County,1200
Covasna County,285
Călărași County,398
Dolj County,804
Dâmbovița County,573
Galați County,791
Giurgiu County,256
Gorj County,623
Harghita County,469
Hunedoara County,573
Ialomița County,279
Iași County,1684
Ilfov County,886
Maramureș County,627
Mehedinți County,316
Mureș County,810
Neamț County,955
Olt County,432
Prahova County,1222
Satu Mare County,420
Sibiu County,541
Suceava County,852
Sălaj County,276
Teleorman County,488
Timiș County,1260
Tulcea County,292
Unknown,≤100
Vaslui County,403
Vrancea County,722
Vâlcea County,562
