Location name,Amount spent (USD)
Brest Region,≤100
Gomel Region,≤100
Grodno Region,≤100
Minsk,≤100
Minsk Region,≤100
Mogilev Region,≤100
Unknown,≤100
Vitebsk Region,≤100
