Location name,Amount spent (TRY)
Adana Province,4931
Adıyaman Province,393
Afyonkarahisar Province,1869
Aksaray Province,376
Amasya Province,233
Ankara Province,11404
Antalya Province,9617
Ardahan Province,≤100
Artvin Province,177
Aydın Province,1876
Ağrı Province,141
Balıkesir Province,2798
Bartın Province,193
Batman Province,302
Bayburt Province,≤100
Bilecik Province,432
Bingöl Province,117
Bitlis Province,104
Bolu Province,643
Burdur Province,832
Bursa Province,4308
Denizli Province,1603
Diyarbakır Province,788
Düzce Province,974
Edirne Province,828
Elazığ Province,699
Erzincan Province,175
Erzurum Province,511
Eskişehir Province,1529
Gaziantep Province,2813
Giresun Province,1635
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1121
Isparta Province,1936
Istanbul Province,26913
Iğdır Province,≤100
Kahramanmaraş Province,1033
Karabük Province,512
Karaman Province,628
Kars Province,115
Kastamonu Province,2966
Kayseri Province,6520
Kilis Province,113
Kocaeli Province,1900
Konya Province,4070
Kütahya Province,1132
Kırklareli Province,1022
Kırıkkale Province,478
Kırşehir Province,310
Malatya Province,764
Manisa Province,3001
Mardin Province,391
Mersin Province,3418
Muğla Province,1266
Muş Province,106
Nevşehir Province,568
Niğde Province,293
Ordu Province,993
Osmaniye Province,2721
Rize Province,395
Sakarya Province,1460
Samsun Province,1580
Siirt Province,≤100
Sinop Province,384
Sivas Province,650
Tekirdağ Province,2436
Tokat Province,646
Trabzon Province,1908
Tunceli Province,≤100
Unknown,≤100
Uşak Province,3385
Van Province,296
Yalova Province,467
Yozgat Province,338
Zonguldak Province,2864
Çanakkale Province,1183
Çankırı Province,319
Çorum Province,967
İzmir Province,7289
Şanlıurfa Province,1241
Şırnak Province,182
