Location name,Amount spent (GTQ)
Alta Verapaz Department,1249
Baja Verapaz Department,401
Chimaltenango Department,1345
Chiquimula Department,717
El Progreso Department,348
Escuintla Department,1918
Guatemala Department,25877
Huehuetenango Department,1914
Izabal Department,1515
Jalapa Department,518
Jutiapa Department,1213
Petén Department,783
Quetzaltenango Department,2828
Quiché Department,1256
Retalhuleu Department,727
Sacatepéquez Department,1266
San Marcos Department,4456
Santa Rosa Department,556
Sololá Department,749
Suchitepéquez Department,1077
Totonicapán Department,691
Unknown,≤100
Zacapa Department,477
