Location name,Amount spent (PYG)
Alto Paraguay Department,93513
Alto Paraná Department,11412719
Amambay Department,1051652
Asunción,10458447
Boquerón department,354330
Caaguazú Department,3008015
Caazapá Department,693565
Canindeyú Department,1081437
Central Department,26413151
Concepción Department (Paraguay),1047971
Cordillera Department,1804055
Guairá Department,1032196
Itapúa Department,4688734
Misiones Department,1247053
Paraguarí Department,1055092
Presidente Hayes Department,618644
San Pedro Department,1328313
Unknown,2604
Ñeembucú Department,960629
