Location name,Amount spent (EUR)
Alsace,584
Aquitaine,1191
Auvergne,384
Basse-Normandie,388
Bourgogne,430
Bretagne,970
Centre,703
Champagne-Ardenne,401
Corse,137
Franche-Comté,286
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,520
Languedoc-Roussillon,1048
Limousin,217
Lorraine,705
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,849
New Caledonia,≤100
Nord-Pas-de-Calais,1086
Pays de la Loire,960
Picardie,548
Poitou-Charentes,546
Provence-Alpes-Côte d'Azur,2510
Reunion Island,≤100
Rhône-Alpes,2067
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4435
