Location name,Amount spent (USD)
Azuay Province,1051
Bolívar Province,131
Carchi Province,107
Cañar Province,166
Chimborazo Province,378
Cotopaxi Province,250
El Oro Province,664
Esmeraldas Province,348
Galápagos Province,≤100
Guayas Province,3995
Imbabura Province,264
Loja Province,429
Los Ríos Province,874
Manabí Province,1881
Morona-Santiago Province,144
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,3495
Santa Elena Province,297
Santo Domingo de los Tsáchilas Province,1672
Sucumbíos Province,123
Tungurahua Province,688
Unknown,≤100
Zamora-Chinchipe Province,206
