Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,363
Apurímac Region,≤100
Arequipa Region,381
Ayacucho Region,106
Cajamarca Region,290
Callao,244
Cusco Region,336
Huancavelica Region,≤100
Huánuco Region,152
Ica Region,400
Junín Region,257
La Libertad Region,624
Lambayeque Region,394
Lima Region,2837
Loreto Region,288
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,600
Puno Region,223
San Martín Region,192
Tacna Region,121
Tumbes Region,≤100
Ucayali Region,181
Unknown,≤100
