Location name,Amount spent (DKK)
Capital Region of Denmark,41257
Central Denmark Region,21288
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8496
Region of Southern Denmark,18653
Unknown,≤100
Zealand Region,11793
