Location name,Amount spent (EUR)
Alsace,648
Aquitaine,1320
Auvergne,430
Basse-Normandie,481
Bourgogne,554
Bretagne,1071
Centre,946
Champagne-Ardenne,558
Corse,159
Franche-Comté,360
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,716
Languedoc-Roussillon,1273
Limousin,245
Lorraine,1025
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1132
New Caledonia,≤100
Nord-Pas-de-Calais,1550
Pays de la Loire,1115
Picardie,696
Poitou-Charentes,621
Provence-Alpes-Côte d'Azur,2381
Reunion Island,≤100
Rhône-Alpes,2370
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4114
