Location name,Amount spent (CZK)
Central Bohemian Region,9669
Hradec Králové Region,4258
Karlovy Vary Region,1949
Liberec Region,3568
Moravian-Silesian Region,9125
Olomouc Region,4120
Pardubice Region,3785
Plzeň Region,4120
Prague,17891
South Bohemian Region,4519
South Moravian Region,10425
Unknown,≤100
Vysočina Region,3570
Zlín Region,4186
Ústí nad Labem Region,6526
