Location name,Amount spent (PYG)
Alto Paraguay Department,15771
Alto Paraná Department,1108574
Amambay Department,122967
Asunción,793536
Boquerón department,48573
Caaguazú Department,447161
Caazapá Department,101080
Canindeyú Department,116630
Central Department,2624165
Concepción Department (Paraguay),122766
Cordillera Department,291671
Guairá Department,133375
Itapúa Department,476039
Misiones Department,153010
Paraguarí Department,156154
Presidente Hayes Department,89825
San Pedro Department,181655
Unknown,134
Ñeembucú Department,182024
