Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
101538412538521,شطرنج / مع محمد صابونجي,إياد خالد,202424,13
1428873024044736,المدن - almodon,المدن - almodon‎,99333,16
110470091436602,Ici Beyrouth,Ici beyrouth,76909,14
1438703606372190,Elham Said Freiha,Elham Freiha,68182,1
102023711572671,أساس ميديا -  Asas Media,asasmedia,47530,21
1680404738865135,Lebanon Elections إنتخابات لبنان,Lebanon Elections,46303,1
101195012850076,مبادرة الدولة الديمقراطية الواحدة,مبادرة الدولة الديمقراطية الواحدة,41758,1
1744356319118477,هنا لبنان,هنا لبنان,38485,10
107698404702208,Alkalima,Alkalima Onlime,17955,6
466221740108607,May Chidiac Foundation - Media Institute,May Chidiac,15545,2
129660230432028,Dr. Toufic Hindi,Toufic Hindi,12227,1
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,11652,4
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,10848,2
2319249898311729,National Bloc - الكتلة الوطنيّة,National Bloc - الكتلة الوطنيّة,9091,2
274138756817,Architonic,These ads ran without a disclaimer,8759,1
1031517763602384,Municipality of Kartaba - بلدية قرطبا,Municipality of Kartaba - بلدية قرطبا,7652,1
100706719315707,The Policy Initiative مبادرة سياسات الغد,The Policy Initiative مبادرة سياسات الغد,7576,7
118246218258237,Transparency International Lebanon - No Corruption,Lebanese Transparency Association-No Corruption,6061,2
128417954019381,Al-Moltaka,Melhem Boustany,6015,1
105319651353770,Jusur,Jusur Arabia,4561,3
204309706385271,Maharatnews,Maharat Foundation,4545,4
121129357949826,Saida Online,Saida Online,4545,1
104252028606448,صوت بنت جبيل,صوت بنت جبيل,1515,1
106821968055687,Leila Dagher,Leila Dagher,1515,1
10423517786,Harvard Business Review,These ads ran without a disclaimer,470,1
113791238657176,قناة العربية  Al Arabiya,These ads ran without a disclaimer,107,1
40775064593,Microsoft Cloud Partner Program,These ads ran without a disclaimer,≤100,2
106386158767588,DOPE Quick Reads,These ads ran without a disclaimer,≤100,1
109187228232712,F5,These ads ran without a disclaimer,≤100,1
1617753965111540,Oil and Gas World/Oil Sands Strong,These ads ran without a disclaimer,≤100,1
111361091313,NICABM,These ads ran without a disclaimer,≤100,1
986013844824671,In Zhejiang,These ads ran without a disclaimer,≤100,1
113061177535527,افتراضية,افتراضية,≤100,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,1
111876598323760,صدى الارز اللبنانية,Charbel Nouh,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
156788224389897,University of Toronto Scarborough (UTSC),These ads ran without a disclaimer,≤100,1
1515909005308067,"Discover Nanjing, China",These ads ran without a disclaimer,≤100,1
