Location name,Amount spent (AUD)
Australian Capital Territory,859
Jervis Bay Territory,≤100
New South Wales,13905
Norfolk Island,≤100
Northern Territory,419
Queensland,11210
South Australia,3102
Tasmania,1158
Unknown,≤100
Victoria,17736
Western Australia,5275
