Location name,Amount spent (INR)
Andaman and Nicobar Islands,228
Andhra Pradesh,83363
Arunachal Pradesh,1887
Assam,14773
Bihar,73689
Chandigarh,2766
Chhattisgarh,29553
Dadra and Nagar Haveli,759
Delhi,82772
Goa,1788
Gujarat,52516
Haryana,51936
Himachal Pradesh,12989
Jammu and Kashmir,8130
Jharkhand,14464
Karnataka,203152
Kerala,13990
Lakshadweep,≤100
Madhya Pradesh,65735
Maharashtra,204451
Manipur,1692
Meghalaya,3199
Mizoram,1092
Nagaland,2704
Odisha,15286
Puducherry,1076
Punjab region,31475
Rajasthan,127093
Sikkim,647
Tamil Nadu,36177
Telangana,68672
Tripura,3328
Unknown,≤100
Uttar Pradesh,110470
Uttarakhand,10736
West Bengal,42124
