Location name,Amount spent (RON)
Alba County,472
Arad County,627
Argeș County,1133
Bacău County,599
Bihor County,756
Bistrița-Năsăud County,384
Botoșani County,774
Brașov County,599
Brăila County,402
Bucharest,3235
Buzău County,491
Caraș-Severin County,290
Cluj County,1216
Constanța County,862
Covasna County,259
Călărași County,298
Dolj County,751
Dâmbovița County,620
Galați County,635
Giurgiu County,204
Gorj County,426
Harghita County,572
Hunedoara County,462
Ialomița County,269
Iași County,858
Ilfov County,368
Maramureș County,501
Mehedinți County,345
Mureș County,1112
Neamț County,705
Olt County,415
Prahova County,943
Satu Mare County,400
Sibiu County,461
Suceava County,852
Sălaj County,285
Teleorman County,305
Timiș County,854
Tulcea County,219
Unknown,≤100
Vaslui County,341
Vrancea County,321
Vâlcea County,479
