Location name,Amount spent (MXN)
Aguascalientes,3685
Baja California,17897
Baja California Sur,2332
Campeche,10460
Chiapas,9763
Chihuahua,15892
Coahuila de Zaragoza,10280
Colima,2258
Distrito Federal,83353
Durango,4368
Guanajuato,48790
Guerrero,8318
Hidalgo,9638
Jalisco,31724
Michoacán de Ocampo,21902
Morelos,8280
Nayarit,2574
Nuevo León,56728
Oaxaca,7142
Puebla,18281
Querétaro Arteaga,9451
Quintana Roo,10128
San Luis Potosi,14689
Sinaloa,8653
Sonora,9817
State of Mexico,167310
Tabasco,8500
Tamaulipas,11244
Tlaxcala,3606
Unknown,≤100
Veracruz,16140
Yucatán,11735
Zacatecas,3803
