Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,2960,96
103426324579756,Ein Lohn zum Leben,Ein Lohn zum Leben,891,4
119186944514904,Unabhängige Schweiz - Unabhängige Energieversorgung,Klima Allianz,828,10
126289610761942,Grünliberale,Grünliberale,774,36
106321615725425,Oui à la Loi climat,Oui à la loi climat,721,37
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,701,8
97220294896,SP Schweiz,SP Schweiz,684,18
108893095528257,In185-Non,IN 185,634,3
169510248558,Die Mitte - Le Centre,Die Mitte,612,14
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,572,8
1886381148253031,Économie suisse pour la loi climat,Économie Suisse pour la loi climat,541,8
105023728023626,Forum Wirtschaftsstandort Schweiz,Swissholdings,508,8
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,475,15
131066326987,SP Kanton Zürich,SP Kanton Zürich,411,9
291359247729208,PS Suisse,PS Suisse,306,8
334655940216136,Nein zum Stromfresser-Gesetz,Nein zum Stromfresser-Gesetz,300,6
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,295,20
1131283210260777,Future 3,Fondation Future 3.0,233,32
375071409495559,Future 3 I de,Fondation Future 3.0,233,36
147201418675114,Swissmem,Swissmem,225,23
194790813901953,Grüne Schweiz,Grüne Schweiz,225,5
1220118614712552,Non à la loi sur le gaspillage de l'électricité,Non à la loi sur le gaspillage de l'électricité,210,4
113106815069066,"OUI à la LEFI - Notre logement, c’est toute notre vie",CGI,205,9
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,196,5
1012263022170223,HotellerieSuisse,HotellerieSuisse,193,13
314909850912,SP Graubünden - PS Grischun - PS Grigioni,SP Graubünden,192,18
1320679421302500,HabitatDurable,Casafair - HabitatDurable,180,13
122487807413337,Mehr günstige Wohnungen in Zürich,Mehr günstige Wohnungen in Zürich,180,4
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,174,12
1199285680176885,izzy,Verein Klimaschutz Schweiz,171,1
102014399307738,Direkt,direkt,168,6
112878345109547,NON-in181 - NON à cette bombe fiscale,Fer Genève,159,9
251838211585945,SP Basel-Stadt,SP Basel-Stadt,137,12
106434042447582,oui-acacias.ch,Comité unitaire en faveur du PLQ Acacias 1,132,28
348181055257294,suisse.ing - Top of Engineering,suisse.ing,127,2
112511615157200,Plateforme pour la justice fiscale,Plateforme pour la justice fiscale,127,19
309380022477251,Casafair,Casafair,125,12
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,119,6
107793295629503,Tourismus für das Klimagesetz,Tourismuskomitee «JA zum Klimagesetz»,113,3
260591187302640,Parti socialiste genevois,Parti socialiste genevois,110,5
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,106,3
789371434477510,GRÜNE Basel-Stadt,Grüne Basel-Stadt,104,2
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,≤100,13
103915262545181,KMU geprüft,KMU geprüft,≤100,1
100389251799156,Die Berner Arbeitgeber.,Der Berner Arbeitgeber.,≤100,2
921336971288655,Nagra,Nagra,≤100,5
48980326364,Public Eye,Public Eye,≤100,11
110533229026103,EVP / PEV,EVP Schweiz,≤100,5
109997062087311,Des logements pour Montreux,Des logements pour Montreux,≤100,4
1524954517562834,Prominis,Prominis GmbH,≤100,3
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,≤100,3
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,≤100,14
179845512038427,swisscleantech,swisscleantech,≤100,12
607076092768471,Bastien Girod,Bastien Girod,≤100,4
100257256973322,Stark+vernetzt,stark + vernetzt,≤100,4
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,3
100844786282093,SÌ alla Legge clima,Sì alla legge clima,≤100,9
101715872923024,Mindestlohn NEIN,Überparteiliches Komitee NEIN zum Mindestlohn,≤100,33
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,≤100,14
108471975894983,Chambre vaudoise du commerce et de l'industrie (CVCI),Chambre Vaudoise du Commerce et de l'Industrie,≤100,2
97721121385,Public Eye,Public Eye,≤100,10
2068625050104664,Jeunes Vert•e•x•s Suisse,Junge Grüne Schweiz,≤100,1
1964006623854188,Christoph Zimmerli,Christoph Zimmerli,≤100,1
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,≤100,17
1526697364280066,Partito Socialista Ticino,Partito Socialista Ticino,≤100,2
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,≤100,1
111572431777901,Simon Michel in den Nationalrat,Simon Michel in den Nationalrat,≤100,5
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,≤100,5
112273518443237,JSVP Säntis,JSVP Säntis,≤100,1
84150672409,SP Stadt Zürich,SP Stadt Zürich,≤100,1
91248575349,SVP Thurgau,SVP Thurgau,≤100,2
317621515059377,Lucerne Clinic,These ads ran without a disclaimer,≤100,1
141853552532665,Romana Heuberger - Stadtratskandidatin,Romana Heuberger - Stadtratskandidatin,≤100,3
289772074451810,FDP.Die Liberalen Aargau,FDP.Die Liberalen Aargau,≤100,6
1509464445976953,IHK Thurgau,IHK Thurgau,≤100,21
140334276690,Grüne Luzern,GRÜNE Luzern,≤100,7
122482160824623,vvvote.ch,vvvote,≤100,19
1579272705641700,Gabriela Suter,Gabriela Suter,≤100,2
15733998334,FDP,FDP,≤100,1
