Location name,Amount spent (PLN)
Greater Poland Voivodeship,3444
Kuyavian-Pomeranian Voivodeship,2330
Lesser Poland Voivodeship,3484
Lower Silesian Voivodeship,2424
Lublin Voivodeship,1421
Lubusz Voivodeship,750
Masovian Voivodeship,6328
Opole Voivodeship,696
Podkarpackie Voivodeship,1922
Podlaskie Voivodeship,867
Pomeranian Voivodeship,2501
Silesian Voivodeship,4442
Unknown,≤100
Warmian-Masurian Voivodeship,1078
West Pomeranian Voivodeship,1549
Łódź Voivodeship,2141
Świętokrzyskie Voivodeship,860
