Location name,Amount spent (AUD)
Australian Capital Territory,790
Jervis Bay Territory,≤100
New South Wales,37070
Northern Territory,419
Queensland,8363
South Australia,2640
Tasmania,1262
Unknown,≤100
Victoria,9806
Western Australia,3932
