Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
314036327204,VR,VR,26977,13
737169626371453,Stundin,Stundin,14054,4
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,6497,1
573559522797177,Flokkur fólksins,Flokkur Fólksins,2689,1
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,2458,2
92267063303,Stöð 2,Stöð 2,1753,1
1011307815614890,Ríkislögreglustjóri,Ríkislögreglustjóri,1090,1
148872571795434,Viðskiptaráð Íslands,Viðskiptaráð Íslands,790,1
137524753533383,Miðflokkurinn,Miðflokkurinn,783,1
154893001218870,ADHD samtökin,ADHD samtökin,772,2
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,675,10
106430331983242,Ragnhildur Alda M. Vilhjálmsdóttir,Ragnhildur Alda Vilhjálmsdóttir,585,1
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,502,1
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
109490318648356,JMSE MDPI,These ads ran without a disclaimer,≤100,1
750731415621118,Remote Sensing MDPI,These ads ran without a disclaimer,≤100,2
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,1
