Location name,Amount spent (UYU)
Artigas Department,103
Canelones Department,447
Cerro Largo Department,135
Colonia Department,206
Durazno Department,≤100
Flores Department,≤100
Florida Department,117
Lavalleja Department,≤100
Maldonado Department,259
Montevideo Department,2660
Paysandú Department,158
Rivera Department,772
Rocha Department,111
Río Negro Department,≤100
Salto Department,410
San José Department,≤100
Soriano Department,109
Tacuarembó Department,144
Treinta y Tres Department,≤100
Unknown,≤100
