Location name,Amount spent (GTQ)
Alta Verapaz Department,1501
Baja Verapaz Department,646
Chimaltenango Department,1919
Chiquimula Department,1040
El Progreso Department,674
Escuintla Department,2352
Guatemala Department,29545
Huehuetenango Department,2593
Izabal Department,1816
Jalapa Department,800
Jutiapa Department,1331
Petén Department,1153
Quetzaltenango Department,3678
Quiché Department,1746
Retalhuleu Department,1095
Sacatepéquez Department,1776
San Marcos Department,6366
Santa Rosa Department,918
Sololá Department,1181
Suchitepéquez Department,1539
Totonicapán Department,1585
Unknown,280
Zacapa Department,718
