Page ID,Page name,Disclaimer,Amount spent (NIO),Number of ads in Library
105753095781799,SheinXMayor,These ads ran without a disclaimer,≤100,1
197184453658823,Mujer Verso a Verso,These ads ran without a disclaimer,≤100,1
100597712218239,Mi Razón de Ser,These ads ran without a disclaimer,≤100,1
104458994617452,Claypots we are,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
406077009499689,Elaniin,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,1
105073207967492,CTG Perú,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
103389318864681,Mamãe da Ayla,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
