Location name,Amount spent (PKR)
Azad Kashmir,1119
Balochistan,1689
Federally Administered Tribal Areas,165
Gilgit-Baltistan,548
Islamabad Capital Territory,1835
Khyber Pakhtunkhwa,7498
Punjab,27800
Sindh,14198
Unknown,≤100
