Location name,Amount spent (HUF)
Baranya County,109208
Borsod-Abaúj-Zemplén County,144484
Budapest,566386
Bács-Kiskun County,118968
Békés County,95111
Csongrád County,122365
Fejér County,110130
Győr-Moson-Sopron County,150529
Hajdú-Bihar County,115662
Heves County,82431
Jász-Nagykun-Szolnok County,85549
Komárom-Esztergom County,78884
Nógrád County,60666
Pest County,263222
Somogy County,78599
Szabolcs-Szatmár-Bereg County,110895
Tolna County,62043
Unknown,≤100
Vas County,70918
Veszprém County,86781
Zala County,94366
