Location name,Amount spent (INR)
Andaman and Nicobar Islands,241
Andhra Pradesh,55430
Arunachal Pradesh,983
Assam,12856
Bihar,41124
Chandigarh,1392
Chhattisgarh,25428
Dadra and Nagar Haveli,1091
Delhi,31848
Goa,2846
Gujarat,45533
Haryana,27021
Himachal Pradesh,8390
Jammu and Kashmir,6216
Jharkhand,14725
Karnataka,66836
Kerala,10904
Lakshadweep,≤100
Madhya Pradesh,64944
Maharashtra,183480
Manipur,146
Meghalaya,5872
Mizoram,1808
Nagaland,2205
Odisha,13766
Puducherry,2286
Punjab region,29291
Rajasthan,156648
Sikkim,729
Tamil Nadu,61225
Telangana,62739
Tripura,1610
Unknown,2575
Uttar Pradesh,117437
Uttarakhand,9436
West Bengal,81606
