Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,165
Apurímac Region,≤100
Arequipa Region,206
Ayacucho Region,≤100
Cajamarca Region,173
Callao,171
Cusco Region,194
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,183
Junín Region,174
La Libertad Region,509
Lambayeque Region,189
Lima Region,1436
Loreto Region,177
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,292
Puno Region,178
San Martín Region,115
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,112
Unknown,≤100
