Location name,Amount spent (PLN)
Greater Poland Voivodeship,5320
Kuyavian-Pomeranian Voivodeship,2924
Lesser Poland Voivodeship,4628
Lower Silesian Voivodeship,5454
Lublin Voivodeship,2080
Lubusz Voivodeship,1671
Masovian Voivodeship,8976
Opole Voivodeship,1375
Podkarpackie Voivodeship,2259
Podlaskie Voivodeship,1169
Pomeranian Voivodeship,3109
Silesian Voivodeship,5601
Unknown,≤100
Warmian-Masurian Voivodeship,1675
West Pomeranian Voivodeship,2887
Łódź Voivodeship,4978
Świętokrzyskie Voivodeship,1628
