Location name,Amount spent (CZK)
Central Bohemian Region,10604
Hradec Králové Region,3537
Karlovy Vary Region,1942
Liberec Region,3103
Moravian-Silesian Region,7917
Olomouc Region,5336
Pardubice Region,3454
Plzeň Region,4349
Prague,19578
South Bohemian Region,5085
South Moravian Region,12504
Unknown,≤100
Vysočina Region,3779
Zlín Region,3999
Ústí nad Labem Region,9426
