Location name,Amount spent (ZAR)
Eastern Cape,469
Free State,398
Gauteng,1399
KwaZulu-Natal,790
Limpopo,470
Mpumalanga,219
North West,154
Northern Cape,≤100
Unknown,≤100
Western Cape,862
