Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,103
Baghdad Governorate,740
Basra Governorate,122
Dhi Qar Governorate,109
Diyala Governorate,≤100
Dohuk Governorate,231
Erbil Governorate,518
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,152
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,206
Saladin Governorate,≤100
Sulaymaniyah Governorate,355
Unknown,≤100
Wasit Governorate,≤100
