Location name,Amount spent (MXN)
Aguascalientes,16938
Baja California,50672
Baja California Sur,10110
Campeche,21363
Chiapas,26143
Chihuahua,36761
Coahuila de Zaragoza,34702
Colima,10648
Distrito Federal,113265
Durango,11424
Guanajuato,48566
Guerrero,18908
Hidalgo,13675
Jalisco,122659
Michoacán de Ocampo,54109
Morelos,23343
Nayarit,9889
Nuevo León,123317
Oaxaca,32938
Puebla,67462
Querétaro Arteaga,25141
Quintana Roo,39449
San Luis Potosi,19228
Sinaloa,24089
Sonora,32065
State of Mexico,82847
Tabasco,14346
Tamaulipas,34335
Tlaxcala,9117
Unknown,≤100
Veracruz,57658
Yucatán,37642
Zacatecas,13927
