Location name,Amount spent (PYG)
Alto Paraguay Department,13720
Alto Paraná Department,1222867
Amambay Department,324476
Asunción,1204922
Boquerón department,62903
Caaguazú Department,667279
Caazapá Department,238850
Canindeyú Department,171949
Central Department,3265679
Concepción Department (Paraguay),151318
Cordillera Department,254069
Guairá Department,184798
Itapúa Department,658597
Misiones Department,196254
Paraguarí Department,152829
Presidente Hayes Department,116897
San Pedro Department,238925
Unknown,263
Ñeembucú Department,107532
