Location name,Amount spent (EGP)
Al Sharqia Governorate,2201
Alexandria Governorate,981
Aswan Governorate,162
Asyut Governorate,429
Beheira Governorate,604
Beni Suef Governorate,256
Cairo Governorate,2617
Dakahlia Governorate,1247
Damietta Governorate,313
Faiyum Governorate,249
Gharbia Governorate,851
Giza Governorate,1185
Ismailia Governorate,196
Kafr el-Sheikh Governorate,514
Luxor Governorate,120
Matrouh Governorate,≤100
Minya Governorate,542
Monufia Governorate,544
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,420
Qalyubia Governorate,877
Qena Governorate,314
Red Sea Governorate,106
Sohag Governorate,462
South Sinai Governorate,≤100
Suez Governorate,101
