Location name,Amount spent (SEK)
Blekinge County,4024
Dalarna County,8039
Gotland County,1931
Gävleborg County,8321
Halland County,9229
Jämtland County,4019
Jönköping County,9843
Kalmar County,6136
Kronoberg County,5414
Norrbotten County,7934
Skåne County,46012
Stockholm County,76699
Södermanland County,8658
Unknown,527
Uppsala County,12309
Värmland County,7525
Västerbotten County,7806
Västernorrland County,6585
Västmanland County,7904
Västra Götaland County,51016
Örebro County,8426
Östergötland County,13342
