Location name,Amount spent (PYG)
Alto Paraguay Department,138336
Alto Paraná Department,3828792
Amambay Department,414704
Asunción,2889159
Boquerón department,153358
Caaguazú Department,1647598
Caazapá Department,311853
Canindeyú Department,413115
Central Department,7289083
Concepción Department (Paraguay),474027
Cordillera Department,516676
Guairá Department,423151
Itapúa Department,1285706
Misiones Department,346347
Paraguarí Department,350371
Presidente Hayes Department,257209
San Pedro Department,896673
Unknown,787
Ñeembucú Department,279508
