Location name,Amount spent (IDR)
Aceh,1009520
Bali,1790165
Bangka–Belitung Islands,244741
Banten,2094900
Bengkulu,787823
Central Java,5386473
Central Kalimantan,497568
Central Sulawesi,647721
East Java,6060560
East Kalimantan,1391010
East Nusa Tenggara,1224662
Gorontalo,559491
Jakarta,3766162
Jambi,989736
Lampung,1871743
Maluku,399044
North Kalimantan,178794
North Maluku,300888
North Sulawesi,939117
North Sumatra,3729862
Papua (province),493105
Riau,2286796
Riau Islands Province,690477
South Kalimantan,747971
South Sulawesi,4994444
South Sumatra,1874521
Southeast Sulawesi,802629
Special Region of Yogyakarta,844921
Unknown,444
West Java,9031437
West Kalimantan,1144264
West Nusa Tenggara,887987
West Papua,224936
West Sulawesi,207687
West Sumatra,1542350
