Location name,Amount spent (CAD)
Alberta,26506
British Columbia,8632
Manitoba,2686
New Brunswick,1289
Newfoundland and Labrador,1003
Northwest Territories,132
Nova Scotia,1928
Nunavut,≤100
Ontario,21466
Prince Edward Island,316
Quebec,12310
Saskatchewan,2164
Unknown,≤100
Yukon,≤100
